aspects,sentiments,snippets,target,sentence
Stock/Price Action/Future Price/Direction,0.634,says positive for year ahead,Compass Group,Compass Group says positive for year ahead
Corporate/Dividend Policy/Dividend/Dividend going up,0.401,Lifts Dividend Again As Acquisitions Continue To Boost Profit,Bunzl,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits
Corporate/Sales/Sales,-0.582,wipes out sales gains for SABMiller,SABMiller,US dollar wipes out sales gains for SABMiller
Corporate/Sales/Sales,0.043, underlying sales rise,SABMiller,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins"
Corporate/Sales/Sales,0.429,lift SABMillers quarterly underlying sales,SABMiller,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales
Corporate/Company Communication,-0.381,Heed Critics After Painful Experience,Valeant,Valeant CEO Pledges to Heed Critics After `Painful' Experience
Corporate/Company Communication,0.324,No real aspect,Aviva,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
Economy/Central Banks,-0.738,RBS struggle in Bank of England stress tests,RBS,StanChart and RBS struggle in Bank of England stress tests
Corporate/Dividend Policy/Dividend,0.522,to pay first dividend since rescue,Lloyds,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue
Corporate/Strategy/Divestment,0.281,sells benchmark indices unit,Bloomberg,Barclays sells benchmark indices unit to Bloomberg
Stock/Price Action/Future Price,-0.251,will all cut petrol prices as oil falls ...,Morrisons,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
Stock/Insider Activity/Insider Trading,0.276,benchmark investigation,Shell,"EU drops Shell, BP, Statoil from ethanol benchmark investigation"
Corporate/M&A/Joint Venture,0.372,Explores Potential Deal ,AstraZeneca,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug
Corporate/Sales/Deal,0.0,Shareholders to Vote on Deal at End of January,Shell,Shell and BG Shareholders to Vote on Deal at End of January
Stock/Buyside/Stock Buyside,0.519,chases Acerta to secure next cancer drug winner,AstraZeneca,AstraZeneca chases Acerta to secure next cancer drug winner
Stock/Price Action,-0.604,off to a bad start over Xmas,Tesco,CompaniesTesco off to a bad start over Xmas â€“ Kantar
Stock/Buyside/Stock Buyside,0.31,emerge as potential bidders for,Julius Baer,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ..."
Corporate/Dividend Policy/Dividend/Dividend going up,0.766,Are RedHot Growth Stars,Dixons Carphone,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!
Corporate/M&A,0.818,to buy Wilshire Bancorp in 1 bln deal,Wilshire Bancorp,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal
Stock/Price Action,0.623,price jumps on report of Comcasts NBCUniversal,Comcast,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...
Stock/IPO,0.408,Possible IPO for Agricultural Trading Business,Glencore,Glencore Studies Possible IPO for Agricultural Trading Business
Corporate/Rumors/Rumors,-0.175,Can Christmas Save..... ,Tesco,Can Christmas Save Sainsbury's plc And Tesco plc?
Corporate/M&A/,0.47, boosts respiratory unit with 575 mln Takeda deal,Takeda,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal
Corporate/Sales/Deal,0.113,win 100m BP contract extension,BP,Bilfinger Industrial Services win Â£100m BP contract extension
Economy/Central Banks,0.335,Escape Capital Raising in Stress Test,RBS,"Standard Chartered, RBS Escape Capital Raising in Stress Test"
Stock/Buyside/Stock Buyside,0.284,weighing up Acerta bid to,AstraZeneca,AstraZeneca weighing up Acerta bid to secure blood cancer drug
Corporate/M&A,0.189,set to complete 20 billion Novartis asset swap next week,Novartis,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week
Economy/Central Banks/Monetary Policy/Monetary Policy - SNB,0.492,2 Turnaround Buys,Home Retail Group,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc
Corporate/Risks,0.25,completes UKs largest medically underwritten bulk pension risk dea,LG,L&G completes UK's largest medically underwritten bulk pension risk deal
Stock/Price Action,-0.854,tumbles as profit falls in challenging year,Meggitt,Meggitt share price tumbles as profit falls in 'challenging year'
Corporate/M&A/M&A,0.437,to buy Baxalta for 32 billion after 6month pursuit,Shire,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit
Stock/Price Action,-0.786,share price slides on cost to,Kingfisher,Kingfisher share price slides on cost to implement new strategy
Corporate/Company Communication/Dividend,0.287,says internal synergy goals from Baxalta deal higher,Shire,Shire says internal synergy goals from Baxalta deal higher
Economy/Central Banks/?,-0.736,shares plunge,BHP,"European shares plunge, roiled by BHP and oil; hopes turn to ECB"
Stock/Price Action/Volatility,0.573,with Christmas bounce back,Debenhams,Morrisons and Debenhams surprise City with Christmas bounce back
Market/Volatility,-0.59,FTSE falls back with Ashtead,Ashtead,"Britain's FTSE falls back with Ashtead, commodities under pressure"
Corporate/Sales,0.814,jump 6 after Christmas sales beat expectations,Tesco,Tesco shares jump 6% after Christmas sales beat expectations
Corporate/Risks/Extraordinary Meeting,0.133,meet Italy econ minister as MA talk heats up,UBI,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up"
Stock/Price Action,0.135,trims gains but is considered in play,Home Retail,CompaniesHome Retail trims gains but is considered 'in play'
Corporate/Sales/Partnership,0.577,says to partner with Kirin if,SABMiller,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
Corporate/Rumors/Rumors,-0.266,Investors Remain Skeptical About ShellBG Deal,Shell,Investors Remain Skeptical About Shell-BG Deal
Stock/Buyside/Stock Buyside,0.487,MarketsShire up 2.5 ,Shire,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal
Stock/Price Action,-0.198,share price under pressure after 32bn Baxalta deal,Baxalta,Shire share price under pressure after $32bn Baxalta deal
Corporate/Appointment,0.0,Interim Leader as CEO Remains Hospitalized,Valeant,Valeant Names Interim Leader as CEO Remains Hospitalized
Corporate/Appointment,0.015,Said to Name New CEO With Pearson Still Hospitalized,Valeant,Valeant Said to Name New CEO With Pearson Still Hospitalized
Stock/Coverage,0.905,hit 10month high on rating upgrade,BAE,Shares in BAE Systems hit 10-month high on rating upgrade
Stock/Buyside/Stock Buyside,0.236,to submit bid next week,SABMiller,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri
Market/Volatility,-0.12,shares have seen recent volatility,Astrazeneca,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...
Corporate/Sales,0.144,to close 134 UK stores as sales jump,Dixons Carphone,CompaniesDixons Carphone to close 134 UK stores as sales jump
Corporate/Rumors/Rumors,0.381,Broker tips,RBS,"Broker tips: RBS, Croda, Sage"
Corporate/M&A/M&A,-0.134,Standard Life announce position against BG acquisition,Shell,Shell share price: Standard Life announce position against BG acquisition
Stock/Price Action,-0.542,share price down,Tesco,Tesco share price down as grocer faces SFO investigation outcome
Market/Volatility/Volatility,0.439,Britains FTSE outperforms Europe Royal Mail and Tesco rise,Tesco,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise"
Corporate/Sales,0.363,third quarter sales boosted,Greene King,Greene King's third quarter sales boosted by festive season
Market/Market,0.571,Smartphone Market Regains Strength,ARM,ARM Royalties Accelerate as Smartphone Market Regains Strength
Corporate/Appointment,0.101,Farms CEO Connolly to Top Pos,ConAgra,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post
Corporate/Dividend Policy,0.631,1.5bn special dividend,InterContinental Hotels Group,InterContinental Hotels Group share price climbs on $1.5bn special dividend
Market/Market/Market Outlook,0.333,to attack UK grocery market,Morrisons,Amazon to attack UK grocery market with Morrisons deal
Corporate/M&A,0.495,share price Acerta deal pays off,AstraZeneca,AstraZeneca share price: Acerta deal pays off with orphan drug status
Corporate/Dividend Policy,-0.938,slashes dividend,BHP Billiton,"BHP Billiton posts big loss, slashes dividend"
Corporate/M&A/M&A,0.136,Merged LSE and Deutsche Brse,LSE,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter
Corporate/Appointment,0.069,appoints new CEO,BG Group,BG Group appoints new CEO one month early
Corporate/Rumors/Scoop,0.1,Should You Buy....,Centrica PLC,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?"
Corporate/Rumors/Rumors,-0.271,Is Trouble Brewing At Legal  General Group Plc And Aviva plc,Legal  General Group Plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?
Corporate/Dividend Policy,-0.604,after slashing dividend,BHP Billiton,BHP Billiton drags FTSE lower after slashing dividend
Corporate/Dividend Policy,-0.341,slashes dividend,BHP Billiton,"BHP Billiton slashes dividend, posts $5.67 billion net loss"
Market/Market,-0.302,profits hit by weak energy and military markets,Meggitt,CompaniesMeggitt profits hit by weak energy and military markets
Stock/Price Action,-0.269,share price edges lower,Royal Mail,Royal Mail share price edges lower as group raises stamp price
Corporate/Strategy/Divestment,-0.314,Cuts 2015 Budget Plans To Divest From Lonmin,Lonmin,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin"
Corporate/Appointment/Executive Appointment,0.0,starts hunt for successor to CEO,GlaxoSmithKline,GlaxoSmithKline starts hunt for successor to CEO Witty
Corporate/Dividend Policy,-0.511,drops dividend policy,Rio Tinto,"Rio Tinto swings to loss, drops dividend policy"
Corporate/Risks/Sale Halt,-0.347, raises concerns over proposed..,LSE,France raises concerns over proposed LSE-Deutsche Boerse deal
Corporate/Appointment,0.066,promotes upstream boss to deputy CEO,BP,MarketsBP promotes upstream boss to deputy CEO
Corporate/Appointment,-0.166,Finance chief to step down,Legal  General,Legal & General share price: Finance chief to step down
Corporate/Appointment/Executive Appointment,-0.092,Barclays poaches new chief operating officer Paul Compton,JP Morgan Chase,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase
Corporate/Sales,0.497,profits and sales up,Arm,Arm profits and sales up as shift away from mobile gains pace
Corporate/Appointment,0.036,appoints JPMorgans Paul Compton as new COO,Barclays,Barclays appoints JPMorgan's Paul Compton as new COO
Economy/Central Banks,0.048,as ECB Depresses Rates,Schroders,U.S. Debt Lures Schroders as ECB Depresses Rates
Corporate/Legal,-0.238,is taking legal advice,EasyJet,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ..."
Corporate/Rumors/Scoop,0.396,considers offer for,LSE,NYSE owner ICE considers offer for LSE
Corporate/M&A,0.226,LSE surges as ICE says mulling offer,ICE,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank
Corporate/Dividend Policy,0.413,Set To Reinstate Dividend ,Balfour Beatty plc,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)
Market/Volatility,-0.734,swings to 347 mln loss,Intertek,Intertek swings to Â£347 mln loss on oil's slump
Corporate/Appointment/Executive Appointment,0.066,Sanofi poaches AstraZeneca scientist,Sanofi,Sanofi poaches AstraZeneca scientist as new research head
Corporate/Sales,0.172,by cutting sales decline,Tesco,Tesco breaks its downward slide by cutting sales decline in half
Stock/Fundamentals,0.5,s books solid earnings growth,Schroders,"News FeedSchroders books solid earnings growth, several board changes"
Corporate/Strategy,0.046,strategic update outlining its plan,Intertek Group,Intertek Group announces strategic update outlining its plan
Corporate/M&A/M&A,0.327,seals 22 billion merger with,London Stock Exchange,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse
Corporate/Dividend Policy,-0.498,Suspends Dividend,Tullow Oil,Tullow Oil Suspends Dividend Amid Oil Price Fall
Corporate/M&A/Proposed Merger,-0.2,owner ICE may gatecrash Deutsche BoerseLSE merger,LSE,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger
Stock/Signal/Sell Signal,-0.045,to Sell SABMiller Stake in,SABMiller,AB InBev to Sell SABMiller Stake in China's Snow Beer
Corporate/M&A/M&A,0.105,merger would signal end to,LSE,LSE-Deutsche Boerse merger would signal end to exchange mega-deals
Corporate/Dividend Policy,0.066,to Scrap U.K. Treasurys Dividend Rights,RBS,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights
Market/Market,0.287,confident in reslilience amid mixed markets,Wolseley,Industry NewsWolseley confident in reslilience amid mixed markets
Corporate/Reputation,-0.498,criticised for disgraceful advert showing domestic worker being slapped,Tesco,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped
Stock/Price Action,0.678,as investors cheer Kingfisher results,Kingfisher,FTSE edges up as investors cheer Kingfisher results
Corporate/Dividend Policy,0.261,Lender Cuts Dividends to Shore Up Capita,Barclays,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital
Corporate/Financial,0.582,gets lift from Prudential results,Prudential,Britain's FTSE gets lift from Prudential results
Corporate/Sales/Deal,0.389,grocery deal with Morrisons ,Morrisons,Amazon's grocery deal with Morrisons is only the beginning
Corporate/Risks,-0.402,fail to find reserves,Royal Dutch Shell,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ..."
Corporate/Rumors/Rumors,0.328,Said to Start Lining Up Financing for,LSE,ICE Said to Start Lining Up Financing for LSE Bidding War
Corporate/Appointment/Staff Hiring,-0.242,to Withdraw Staff From,Statoil,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack"
Corporate/M&A/Proposed Merger,0.358,Support Deutsche BoerseLSE Merger,LSE,Merkel's Government Said to Support Deutsche Boerse-LSE Merger
Corporate/Dividend Policy,0.377,weighs cash handou,Aviva,Aviva weighs cash handout after beating profit forecast
Stock/Fundamentals,0.555,Reports Strong 2015 Growth,WPP,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth"
Corporate/Strategy/Reorganization,-0.142,Shell plan to break up Motiva divide up assets,Saudi Aramco,"Saudi Aramco, Shell plan to break up Motiva, divide up assets"
Corporate/M&A/M&A,-0.079,to sell more SAB assets as seeks,SAB,AB InBev to sell more SAB assets as seeks EU deal approval
Corporate/Sales,-0.23,Sales Pickup Isnt Enough,Tesco,Tesco's Sales Pickup Isn't Enough
Corporate/Sales/Deal,0.375,Expects To Close Deal For,CaixaBank,Spain's CaixaBank Expects To Close Deal For Banco BPI
Corporate/M&A/M&A,0.422,Group mulls takeover of Canadas Entertainment One,ITV,ITV share price: Group mulls takeover of Canada's Entertainment One
Corporate/Rumors,0.138,One dispels ITV takeover rumours,Entertainment One,Entertainment One dispels ITV takeover rumours
Stock/Price Action/Volatility/Sell-Off,0.213,to Sell Majority Stake in Bank BPHs Core Bank,Bank BPH,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank
Stock/IPO,0.218,with StanChart for UK unit sale  source,StanChart,Tata Steel working with StanChart for UK unit sale - source
Stock/Price Action/Bullish/Bull Position,0.459,Slowly adding some FIO here but gotta be careful,FIO,Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012
Stock/Technical Analysis,0.438,Long setup. MACD cross.,TRX,$TRX http://stks.co/1KkK Long setup. MACD cross.
Stock/Price Action/Bearish,-0.506,both fundementals and charts look like poopoo this quarter.,AMZN,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.
Corporate/M&A/M&A,0.366,Crown Castle buys Tower Development Corp,Tower Development,Crown Castle buys Tower Development Corp for $461 million
Stock/Price Action/Bearish/Bearish Behavior,-0.202,might be selling off ahead,P,$GRPN might be selling off ahead of $P earnings...
Stock/Technical Analysis,0.379,Looks good on the weekly chart.,IACI,$IACI http://stks.co/tJU Looks good on the weekly chart.
Stock/Price Action/Bullish,0.308,back over up trendline,PCLN,"$pcln back over ""up"" trendline from 10/4"
Stock/Price Action/Bullish/Bullish Behavior,0.578,A close above here is looking good for the bulls,NFLX,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.
Stock/Price Action/Bearish,0.222,That has to be the pressure on the stock,AAPL,Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.
Stock/Price Action/Bullish,0.298,Stock price implies you pay nothing for the business,SKX,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business
Stock/Options/Strategies,0.492,Calls are active in this month and weekly,MOS,$MOS looking good here at $58.65. Calls are active in this month and weekly
Stock/Options/Strategies,0.385,Letting the calls ride solo now,TZA,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now."
Stock/Price Action/Bullish,0.444,Long setup. Closed above the 20MA. MACD cross. November catalyst.,YMI,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.
Stock/Price Action/Bullish,0.308,a close above 28.64 and we are ready to rock and roll,TZOO,$TZOO a close above 28.64 and we are ready to rock and roll
Stock/Price Action,0.603,Im liking the price action,SWKS,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end."
Stock/Price Action/Bullish/Bullish Behavior,0.48,closng higher from here,WFT,$WFT closng higher from here
Stock/Price Action/Volatility/Sell-Off,-0.038,sells half of stake in ecommerce site Lazada to Alibaba for 90m,Lazada,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m
Stock/Price Action/Bullish,0.601,I want this to break a new 52week,SPPI,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher
Stock/Price Action/Bearish,-0.204,bull move ended,SPY,$SPY bull move ended waiting for next setup
Stock/Technical Analysis,0.446,Double bottom with handle buy point,IP,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh
Stock/Technical Analysis,0.176,though RSI and Stoch,GLD,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance."
Stock/Price Action/Bearish,-0.536,Downside breakout looks to be coming soon,ACOM,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.
Stock/Price Action/Bullish,0.385,Target 15 plus on a close over 13.50 on better than avg daily Volume,ZAGG,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn
Market/Volatility,0.042,volatility squeeze,AAPL,volatility squeeze in $AAPL. I hope it gets resolved to the upside
Stock/Price Action/Volatility/Short Selling,-0.543,Still short LNG from 11.70 area...next stop could be down through 9.00.,LNG,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow"
Stock/Price Action/Bullish/Bullish Behavior,0.348,Covered my small MWW short,MWW,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.
Stock/Technical Analysis,-0.39,200 day resistance still intact,SDS,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t
Stock/Technical Analysis,0.594,broke DT line 1st MACD cross,IYT,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag="
Stock/Technical Analysis/Stochastic,0.702,weekly stochastics finally starting to turn up,DUG,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.
Stock/Price Action/Bullish,0.412,Next week we will pop higher,SPY,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.
Stock/Price Action/Bullish/Bull Position,0.65,longed,AMZN,longed $AMZN 300 @ 189.82
Corporate/Strategy/Company Agreement,0.244,Agree on Plan for BPI Angola Exposure,CaixaBank,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure"
Stock/Options,0.145,is down but weekly 34 calls,SLW,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg"
Corporate/Sales/Deal,0.497,Receives 7Year 50M Contract,HSC,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill"
Corporate/Financial/Financial Results,-0.668,Green Mountain revenue misses shares plunge,GMCR,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint"
Stock/Technical Analysis,-0.299,watch 50mas slope,XLF,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope"
Corporate/Strategy/Company Agreement,0.243,Isabel dos Santos Reach Agreement Over Angola Exposure,CaixaBank,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure"
Stock/Price Action/Bullish/Bull Position,0.685,adding to position here,VXX,$vxx adding to position here !
Corporate/Sales,-0.441,September Comparable Store Sales 4,GPS,$GPS Gap September Comparable Store Sales -4%
Stock/Technical Analysis,0.654,Double bottom with handle buy point,WMT,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3
Stock/Price Action/Bullish/Bullish Behavior,0.148,continues to consolidate  base here,MA,$MA http://stks.co/1CYN continues to consolidate / base here
Stock/Price Action/Bullish,0.396,Sets Up for Breakout,QCOM,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM
Stock/Price Action/Current Price/52-Week High,0.729,trading at alltime high,ISRG,$isrg trading at all-time high after strong earnings report with 4 days of short interest.
Corporate/Financial/Financial Results/Earnings,0.63,Reported very good earnings.,UTSI,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.
Stock/Price Action/Volatility/Short Selling,-0.522,Here come the shorts,GMCR,Here come the shorts marchin' in.  $GMCR.  Lovin' it!
Stock/Price Action/Bullish,0.526,news is becoming very bullish again,AAPL,$aapl news is becoming very bullish again http://stks.co/tMU
Corporate/M&A/M&A,0.185,launches new takeover bid for Banco BPI,Caixabank,Spain's Caixabank launches new takeover bid for Banco BPI
Stock/Price Action,0.142,wouldnt be surprised if we took out 423,AAPL,stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL
Stock/Price Action/Bullish/Bullish Behavior,0.369,broke out now of his bull flag channel and make new highs,DPZ,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor"
Stock/Technical Analysis,0.341,Nice little cupandhandle shaping up on the 15minute,SPY,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open
Stock/Price Action/Bearish,-0.605,for all who dont know that means markets will tank now,FAZ,Short more $FAZ for all who don't know that means markets will tank now :-p
Stock/Price Action,-0.443,Markets Are Still Acting Weak,XLF,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM
Stock/Coverage/AnalystRatings/Upgrade,0.521,reiterated Outperform rating,BRCM,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday."
Stock/Price Action/Bullish/Bullish Behavior,0.445,longs...congrats...another HOD,ELN,$ELN longs...congrats...another HOD
Stock/Price Action/Bearish/Bearish Behavior,-0.424,red before the bell,WYNN,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell"
Stock/Price Action/Bullish/Bull Position,0.499,long play,TSPT,$TSPT  long 8.00
Stock/Price Action/Bullish/Bullish Behavior,0.622,Long setup. Watch for continuation and volume expansion here.,SKH,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.
Stock/Price Action/Bearish,0.006,Losing 10 week here,LULU,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b
Stock/Price Action,-0.312,the correleation between the dollar index and SPY is simply amazing,SPY,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork"
Stock/Price Action/Current Price/Oversold,0.376,wont stay down,FIO,$FIO won't stay down
Corporate/Sales,-0.077,Despite sales growth,Tesco,"Despite sales growth, UK's Tesco cautions recovery to be bumpy"
Stock/Technical Analysis,0.529,Clearing this descending trend line,AAPL,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now
Stock/Price Action/Bullish,0.414,Go Long until exp imo,ROST,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !
Corporate/M&A/M&A,0.199,to pursue takeover of Canadas Entertainment One,ITV,ITV to pursue takeover of Canada's Entertainment One: Bloomberg
Stock/Price Action/Bearish,-0.172,any rally beyond todays levels or into this range leads to meltdown.,DIA,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.
Stock/Fundamentals,0.011,Numbers looked good not great but good,LULU,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence."
Stock/Price Action/Bearish/Bearish Behavior,-0.614,looking very weak could be a good short setup.,ZSL,"$ZSL looking very weak, could be a good short setup."
Stock/Price Action/Volatility/Short Selling,-0.483,darn those shorts,FMCN,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!"
Stock/Price Action/Bearish/Bearish Behavior,-0.607,Bottom Pickers continue to get destroyed,MCP,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed
Corporate/Dividend Policy,0.455,plans a 33 dividend hike,ACE,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE"
Stock/Technical Analysis/MACD,0.498,MACD crossover a halfahair away on the weekly,AAPL,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely."
