aspects,sentiments,snippets,target,sentence,combined,news
Corporate/Dividend Policy/Dividend,0.522,to pay first dividend since rescue,Lloyds,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,to pay first dividend since rescue REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,pay first dividend since rescue refileupdate britains lloyds pay first dividend since rescue
Corporate/Strategy/Divestment,0.281,sells benchmark indices unit,Bloomberg,Barclays sells benchmark indices unit to Bloomberg,sells benchmark indices unit Barclays sells benchmark indices unit to Bloomberg,sells benchmark indices unit barclays sells benchmark indices unit bloomberg
Stock/Price Action/Future Price,-0.251,will all cut petrol prices as oil falls ...,Morrisons,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","will all cut petrol prices as oil falls ... Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",cut petrol prices oil falls  sainsburys asda tesco morrisons cut petrol prices oil falls
Stock/Insider Activity/Insider Trading,0.276,benchmark investigation,Shell,"EU drops Shell, BP, Statoil from ethanol benchmark investigation","benchmark investigation EU drops Shell, BP, Statoil from ethanol benchmark investigation",benchmark investigation eu drops shell bp statoil ethanol benchmark investigation
Corporate/M&A/Joint Venture,0.372,Explores Potential Deal ,AstraZeneca,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,Explores Potential Deal  AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,explores potential deal  astrazeneca explores potential deal acerta cancer drug
Corporate/Sales/Deal,0.0,Shareholders to Vote on Deal at End of January,Shell,Shell and BG Shareholders to Vote on Deal at End of January,Shareholders to Vote on Deal at End of January Shell and BG Shareholders to Vote on Deal at End of January,shareholders vote deal end january shell bg shareholders vote deal end january
Stock/Buyside/Stock Buyside,0.519,chases Acerta to secure next cancer drug winner,AstraZeneca,AstraZeneca chases Acerta to secure next cancer drug winner,chases Acerta to secure next cancer drug winner AstraZeneca chases Acerta to secure next cancer drug winner,chases acerta secure next cancer drug winner astrazeneca chases acerta secure next cancer drug winner
Stock/Price Action,-0.604,off to a bad start over Xmas,Tesco,CompaniesTesco off to a bad start over Xmas â€“ Kantar,off to a bad start over Xmas CompaniesTesco off to a bad start over Xmas â€“ Kantar,bad start xmas companiestesco bad start xmas  kantar
Stock/Buyside/Stock Buyside,0.31,emerge as potential bidders for,Julius Baer,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","emerge as potential bidders for DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",emerge potential bidders dbs julius baer emerge potential bidders barclays asia wealth unit
Corporate/Dividend Policy/Dividend/Dividend going up,0.766,Are RedHot Growth Stars,Dixons Carphone,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Are RedHot Growth Stars Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,redhot growth stars astrazeneca plc  dixons carphone plc redhot growth stars
Corporate/M&A,0.818,to buy Wilshire Bancorp in 1 bln deal,Wilshire Bancorp,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,to buy Wilshire Bancorp in 1 bln deal BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,buy wilshire bancorp bln deal bbcn bancorp buy wilshire bancorp bln deal
Stock/Price Action,0.623,price jumps on report of Comcasts NBCUniversal,Comcast,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,price jumps on report of Comcasts NBCUniversal ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,price jumps report comcasts nbcuniversal itv share price jumps report comcasts nbcuniversal bidding takeover
Stock/IPO,0.408,Possible IPO for Agricultural Trading Business,Glencore,Glencore Studies Possible IPO for Agricultural Trading Business,Possible IPO for Agricultural Trading Business Glencore Studies Possible IPO for Agricultural Trading Business,possible ipo agricultural trading business glencore studies possible ipo agricultural trading business
Corporate/Rumors/Rumors,-0.175,Can Christmas Save..... ,Tesco,Can Christmas Save Sainsbury's plc And Tesco plc?,Can Christmas Save.....  Can Christmas Save Sainsbury's plc And Tesco plc?,christmas save  christmas save sainsburys plc tesco plc
Corporate/M&A/,0.47, boosts respiratory unit with 575 mln Takeda deal,Takeda,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal, boosts respiratory unit with 575 mln Takeda deal UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,boosts respiratory unit mln takeda deal update astrazeneca boosts respiratory unit mln takeda deal
Corporate/Sales/Deal,0.113,win 100m BP contract extension,BP,Bilfinger Industrial Services win Â£100m BP contract extension,win 100m BP contract extension Bilfinger Industrial Services win Â£100m BP contract extension,win bp contract extension bilfinger industrial services win bp contract extension
Economy/Central Banks,0.335,Escape Capital Raising in Stress Test,RBS,"Standard Chartered, RBS Escape Capital Raising in Stress Test","Escape Capital Raising in Stress Test Standard Chartered, RBS Escape Capital Raising in Stress Test",escape capital raising stress test standard chartered rbs escape capital raising stress test
Stock/Buyside/Stock Buyside,0.284,weighing up Acerta bid to,AstraZeneca,AstraZeneca weighing up Acerta bid to secure blood cancer drug,weighing up Acerta bid to AstraZeneca weighing up Acerta bid to secure blood cancer drug,weighing acerta bid astrazeneca weighing acerta bid secure blood cancer drug
Corporate/M&A,0.189,set to complete 20 billion Novartis asset swap next week,Novartis,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,set to complete 20 billion Novartis asset swap next week GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,set complete  billion novartis asset swap next week glaxosmithkline set complete  billion novartis asset swap next week
Economy/Central Banks/Monetary Policy/Monetary Policy - SNB,0.492,2 Turnaround Buys,Home Retail Group,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,2 Turnaround Buys 2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,turnaround buys  turnaround buys bhp billiton plc home retail group plc
Corporate/Risks,0.25,completes UKs largest medically underwritten bulk pension risk dea,LG,L&G completes UK's largest medically underwritten bulk pension risk deal,completes UKs largest medically underwritten bulk pension risk dea L&G completes UK's largest medically underwritten bulk pension risk deal,completes uks largest medically underwritten bulk pension risk dea lg completes uks largest medically underwritten bulk pension risk deal
Stock/Price Action,-0.854,tumbles as profit falls in challenging year,Meggitt,Meggitt share price tumbles as profit falls in 'challenging year',tumbles as profit falls in challenging year Meggitt share price tumbles as profit falls in 'challenging year',tumbles profit falls challenging year meggitt share price tumbles profit falls challenging year
Corporate/M&A/M&A,0.437,to buy Baxalta for 32 billion after 6month pursuit,Shire,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,to buy Baxalta for 32 billion after 6month pursuit Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,buy baxalta billion month pursuit drugmaker shire buy baxalta billion month pursuit
Stock/Price Action,-0.786,share price slides on cost to,Kingfisher,Kingfisher share price slides on cost to implement new strategy,share price slides on cost to Kingfisher share price slides on cost to implement new strategy,share price slides cost kingfisher share price slides cost implement new strategy
Corporate/Company Communication/Dividend,0.287,says internal synergy goals from Baxalta deal higher,Shire,Shire says internal synergy goals from Baxalta deal higher,says internal synergy goals from Baxalta deal higher Shire says internal synergy goals from Baxalta deal higher,says internal synergy goals baxalta deal higher shire says internal synergy goals baxalta deal higher
Economy/Central Banks/?,-0.736,shares plunge,BHP,"European shares plunge, roiled by BHP and oil; hopes turn to ECB","shares plunge European shares plunge, roiled by BHP and oil; hopes turn to ECB",shares plunge european shares plunge roiled bhp oil hopes turn ecb
Stock/Price Action/Volatility,0.573,with Christmas bounce back,Debenhams,Morrisons and Debenhams surprise City with Christmas bounce back,with Christmas bounce back Morrisons and Debenhams surprise City with Christmas bounce back,christmas bounce back morrisons debenhams surprise city christmas bounce back
Market/Volatility,-0.59,FTSE falls back with Ashtead,Ashtead,"Britain's FTSE falls back with Ashtead, commodities under pressure","FTSE falls back with Ashtead Britain's FTSE falls back with Ashtead, commodities under pressure",ftse falls back ashtead britains ftse falls back ashtead commodities pressure
Corporate/Sales,0.814,jump 6 after Christmas sales beat expectations,Tesco,Tesco shares jump 6% after Christmas sales beat expectations,jump 6 after Christmas sales beat expectations Tesco shares jump 6% after Christmas sales beat expectations,jump  christmas sales beat expectations tesco shares jump  christmas sales beat expectations
Corporate/Risks/Extraordinary Meeting,0.133,meet Italy econ minister as MA talk heats up,UBI,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up","meet Italy econ minister as MA talk heats up CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",meet italy econ minister talk heats ceos bpm ubi meet italy econ minister talk heats 
Stock/Price Action,0.135,trims gains but is considered in play,Home Retail,CompaniesHome Retail trims gains but is considered 'in play',trims gains but is considered in play CompaniesHome Retail trims gains but is considered 'in play',trims gains considered play companieshome retail trims gains considered play
Corporate/Sales/Partnership,0.577,says to partner with Kirin if,SABMiller,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,says to partner with Kirin if Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,says partner kirin philippines san miguel says partner kirin bids sabmillers
Corporate/Rumors/Rumors,-0.266,Investors Remain Skeptical About ShellBG Deal,Shell,Investors Remain Skeptical About Shell-BG Deal,Investors Remain Skeptical About ShellBG Deal Investors Remain Skeptical About Shell-BG Deal,investors remain skeptical shellbg deal investors remain skeptical shellbg deal
Stock/Buyside/Stock Buyside,0.487,MarketsShire up 2.5 ,Shire,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,MarketsShire up 2.5  MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,marketsshire marketsshire baxalta bn deal
Stock/Price Action,-0.198,share price under pressure after 32bn Baxalta deal,Baxalta,Shire share price under pressure after $32bn Baxalta deal,share price under pressure after 32bn Baxalta deal Shire share price under pressure after $32bn Baxalta deal,share price pressure bn baxalta deal shire share price pressure bn baxalta deal
Corporate/Appointment,0.0,Interim Leader as CEO Remains Hospitalized,Valeant,Valeant Names Interim Leader as CEO Remains Hospitalized,Interim Leader as CEO Remains Hospitalized Valeant Names Interim Leader as CEO Remains Hospitalized,interim leader ceo remains hospitalized valeant names interim leader ceo remains hospitalized
Corporate/Appointment,0.015,Said to Name New CEO With Pearson Still Hospitalized,Valeant,Valeant Said to Name New CEO With Pearson Still Hospitalized,Said to Name New CEO With Pearson Still Hospitalized Valeant Said to Name New CEO With Pearson Still Hospitalized,said name new ceo pearson still hospitalized valeant said name new ceo pearson still hospitalized
Stock/Coverage,0.905,hit 10month high on rating upgrade,BAE,Shares in BAE Systems hit 10-month high on rating upgrade,hit 10month high on rating upgrade Shares in BAE Systems hit 10-month high on rating upgrade,hit month high rating upgrade shares bae systems hit month high rating upgrade
Stock/Buyside/Stock Buyside,0.236,to submit bid next week,SABMiller,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,to submit bid next week Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,submit bid next week japans asahi submit bid next week sabmillers grolsch peroni  yomiuri
Market/Volatility,-0.12,shares have seen recent volatility,Astrazeneca,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,shares have seen recent volatility Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,shares seen recent volatility analyst views astrazeneca shares seen recent volatility 
Corporate/Sales,0.144,to close 134 UK stores as sales jump,Dixons Carphone,CompaniesDixons Carphone to close 134 UK stores as sales jump,to close 134 UK stores as sales jump CompaniesDixons Carphone to close 134 UK stores as sales jump,close  uk stores sales jump companiesdixons carphone close  uk stores sales jump
Corporate/Rumors/Rumors,0.381,Broker tips,RBS,"Broker tips: RBS, Croda, Sage","Broker tips Broker tips: RBS, Croda, Sage",broker tips broker tips rbs croda sage
Corporate/M&A/M&A,-0.134,Standard Life announce position against BG acquisition,Shell,Shell share price: Standard Life announce position against BG acquisition,Standard Life announce position against BG acquisition Shell share price: Standard Life announce position against BG acquisition,standard life announce position bg acquisition shell share price standard life announce position bg acquisition
Stock/Price Action,-0.542,share price down,Tesco,Tesco share price down as grocer faces SFO investigation outcome,share price down Tesco share price down as grocer faces SFO investigation outcome,share price tesco share price grocer faces sfo investigation outcome
Market/Volatility/Volatility,0.439,Britains FTSE outperforms Europe Royal Mail and Tesco rise,Tesco,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","Britains FTSE outperforms Europe Royal Mail and Tesco rise Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",britains ftse outperforms europe royal mail tesco rise britains ftse outperforms europe royal mail tesco rise
Corporate/Sales,0.363,third quarter sales boosted,Greene King,Greene King's third quarter sales boosted by festive season,third quarter sales boosted Greene King's third quarter sales boosted by festive season,third quarter sales boosted greene kings third quarter sales boosted festive season
Market/Market,0.571,Smartphone Market Regains Strength,ARM,ARM Royalties Accelerate as Smartphone Market Regains Strength,Smartphone Market Regains Strength ARM Royalties Accelerate as Smartphone Market Regains Strength,smartphone market regains strength arm royalties accelerate smartphone market regains strength
Corporate/Appointment,0.101,Farms CEO Connolly to Top Pos,ConAgra,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,Farms CEO Connolly to Top Pos ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,farms ceo connolly top pos conagra names former hillshire farms ceo connolly top post
Corporate/Dividend Policy,0.631,1.5bn special dividend,InterContinental Hotels Group,InterContinental Hotels Group share price climbs on $1.5bn special dividend,1.5bn special dividend InterContinental Hotels Group share price climbs on $1.5bn special dividend,bn special dividend intercontinental hotels group share price climbs bn special dividend
Market/Market/Market Outlook,0.333,to attack UK grocery market,Morrisons,Amazon to attack UK grocery market with Morrisons deal,to attack UK grocery market Amazon to attack UK grocery market with Morrisons deal,attack uk grocery market amazon attack uk grocery market morrisons deal
Corporate/M&A,0.495,share price Acerta deal pays off,AstraZeneca,AstraZeneca share price: Acerta deal pays off with orphan drug status,share price Acerta deal pays off AstraZeneca share price: Acerta deal pays off with orphan drug status,share price acerta deal pays astrazeneca share price acerta deal pays orphan drug status
Corporate/Dividend Policy,-0.938,slashes dividend,BHP Billiton,"BHP Billiton posts big loss, slashes dividend","slashes dividend BHP Billiton posts big loss, slashes dividend",slashes dividend bhp billiton posts big loss slashes dividend
Corporate/M&A/M&A,0.136,Merged LSE and Deutsche Brse,LSE,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,Merged LSE and Deutsche Brse Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,merged lse deutsche brse merged lse deutsche brse would led germanys kengeter
Corporate/Appointment,0.069,appoints new CEO,BG Group,BG Group appoints new CEO one month early,appoints new CEO BG Group appoints new CEO one month early,appoints new ceo bg group appoints new ceo one month early
Corporate/Rumors/Scoop,0.1,Should You Buy....,Centrica PLC,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","Should You Buy.... Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",buy buy jumbo yielders british american tobacco plc centrica plc  john wood group plc
Corporate/Rumors/Rumors,-0.271,Is Trouble Brewing At Legal  General Group Plc And Aviva plc,Legal  General Group Plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Is Trouble Brewing At Legal  General Group Plc And Aviva plc Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,trouble brewing legal  general group plc aviva plc trouble brewing legal  general group plc aviva plc
Corporate/Dividend Policy,-0.604,after slashing dividend,BHP Billiton,BHP Billiton drags FTSE lower after slashing dividend,after slashing dividend BHP Billiton drags FTSE lower after slashing dividend,slashing dividend bhp billiton drags ftse lower slashing dividend
Corporate/Dividend Policy,-0.341,slashes dividend,BHP Billiton,"BHP Billiton slashes dividend, posts $5.67 billion net loss","slashes dividend BHP Billiton slashes dividend, posts $5.67 billion net loss",slashes dividend bhp billiton slashes dividend posts  billion net loss
Market/Market,-0.302,profits hit by weak energy and military markets,Meggitt,CompaniesMeggitt profits hit by weak energy and military markets,profits hit by weak energy and military markets CompaniesMeggitt profits hit by weak energy and military markets,profits hit weak energy military markets companiesmeggitt profits hit weak energy military markets
Stock/Price Action,-0.269,share price edges lower,Royal Mail,Royal Mail share price edges lower as group raises stamp price,share price edges lower Royal Mail share price edges lower as group raises stamp price,share price edges lower royal mail share price edges lower group raises stamp price
Corporate/Strategy/Divestment,-0.314,Cuts 2015 Budget Plans To Divest From Lonmin,Lonmin,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","Cuts 2015 Budget Plans To Divest From Lonmin Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",cuts  budget plans divest lonmin glencore cuts  budget plans divest lonmin
Corporate/Appointment/Executive Appointment,0.0,starts hunt for successor to CEO,GlaxoSmithKline,GlaxoSmithKline starts hunt for successor to CEO Witty,starts hunt for successor to CEO GlaxoSmithKline starts hunt for successor to CEO Witty,starts hunt successor ceo glaxosmithkline starts hunt successor ceo witty
Corporate/Dividend Policy,-0.511,drops dividend policy,Rio Tinto,"Rio Tinto swings to loss, drops dividend policy","drops dividend policy Rio Tinto swings to loss, drops dividend policy",drops dividend policy rio tinto swings loss drops dividend policy
Corporate/Risks/Sale Halt,-0.347, raises concerns over proposed..,LSE,France raises concerns over proposed LSE-Deutsche Boerse deal, raises concerns over proposed.. France raises concerns over proposed LSE-Deutsche Boerse deal,raises concerns proposed france raises concerns proposed lsedeutsche boerse deal
Corporate/Appointment,0.066,promotes upstream boss to deputy CEO,BP,MarketsBP promotes upstream boss to deputy CEO,promotes upstream boss to deputy CEO MarketsBP promotes upstream boss to deputy CEO,promotes upstream boss deputy ceo marketsbp promotes upstream boss deputy ceo
Corporate/Appointment,-0.166,Finance chief to step down,Legal  General,Legal & General share price: Finance chief to step down,Finance chief to step down Legal & General share price: Finance chief to step down,finance chief step legal  general share price finance chief step 
Corporate/Appointment/Executive Appointment,-0.092,Barclays poaches new chief operating officer Paul Compton,JP Morgan Chase,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,Barclays poaches new chief operating officer Paul Compton Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,barclays poaches new chief operating officer paul compton barclays poaches new chief operating officer paul compton jp morgan chase
Corporate/Sales,0.497,profits and sales up,Arm,Arm profits and sales up as shift away from mobile gains pace,profits and sales up Arm profits and sales up as shift away from mobile gains pace,profits sales arm profits sales shift away mobile gains pace
Corporate/Appointment,0.036,appoints JPMorgans Paul Compton as new COO,Barclays,Barclays appoints JPMorgan's Paul Compton as new COO,appoints JPMorgans Paul Compton as new COO Barclays appoints JPMorgan's Paul Compton as new COO,appoints jpmorgans paul compton new coo barclays appoints jpmorgans paul compton new coo
Economy/Central Banks,0.048,as ECB Depresses Rates,Schroders,U.S. Debt Lures Schroders as ECB Depresses Rates,as ECB Depresses Rates U.S. Debt Lures Schroders as ECB Depresses Rates,ecb depresses rates us debt lures schroders ecb depresses rates
Corporate/Legal,-0.238,is taking legal advice,EasyJet,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...","is taking legal advice FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",taking legal advice fastjet slams easyjet founder stelios going public taking legal advice letter contractual
Corporate/Rumors/Scoop,0.396,considers offer for,LSE,NYSE owner ICE considers offer for LSE,considers offer for NYSE owner ICE considers offer for LSE,considers offer nyse owner ice considers offer lse
Corporate/M&A,0.226,LSE surges as ICE says mulling offer,ICE,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,LSE surges as ICE says mulling offer News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,lse surges ice says mulling offer news feedftse  movers lse surges ice says mulling offer ashtead barclays tank
Corporate/Dividend Policy,0.413,Set To Reinstate Dividend ,Balfour Beatty plc,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Set To Reinstate Dividend  Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),set reinstate dividend  balfour beatty plc set reinstate dividend rival national grid plc centrica plc 
Market/Volatility,-0.734,swings to 347 mln loss,Intertek,Intertek swings to Â£347 mln loss on oil's slump,swings to 347 mln loss Intertek swings to Â£347 mln loss on oil's slump,swings mln loss intertek swings mln loss oils slump
